NAME RARITY TYPE PV ATK DEF SPEED EVOL_LV EVOL_NAME PLAYER_LV TYPE2 MIN_LV MAX_LV
Lucario 43 combat 80 90 80 88 0 0 2 acier 15 100
            
Magneti 25 acier 70 70 75 68 12 Magneton 0 elec 0 12
Magneton 40 acier 76 72 85 70 24 Magnezone 1 elec 12 24
Magnezone 60 acier 88 80 98 78 0 0 4 elec 24 100
            
Terhal 27 acier 65 70 73 65 15 Metang 0 psy 0 15
Metang 38 acier 70 75 80 70 30 Metalosse 1 psy 15 30
Metalosse 60 acier 90 90 93 81 0 0 4 psy 30 100
            
Galekid 28 acier 67 67 80 65 15 Galegon 0 roche 0 15
Galegon 34 acier 71 70 90 70 30 Galeking 1 roche 15 30
Galeking 60 acier 95 80 100 78 0 0 4 roche 30 100
            
Monorpale 35 spectre 63 78 60 85 15 Dimocles 0 acier 0 15
Dimocles 40 spectre 70 85 70 90 30 Exagide 1 acier 15 30
Exagide 60 spectre 80 93 80 95 0 0 4 acier 30 100
            
Minidraco 35 dragon 65 70 70 72 15 Draco 0 NoType 0 15
Draco 45 dragon 75 80 80 80 30 Dracolosse 2 NoType 15 30
Dracolosse 60 dragon 100 90 90 85 0 0 4 vol 30 100
            
Griknot 40 dragon 65 76 65 64 15 Carmache 0 sol 0 15
Carmache 50 dragon 75 88 72 85 30 Carchakrok 2 sol 15 30
Carchakrok 60 dragon 95 123 88 95 0 0 4 sol 30 100
            
Lokhlass 60 eau 110 88 85 78 0 0 3 glace 18 100
