# name              spawn_d     categorie       Fonctionnement  achat       revente         Description
# Valeurs exemple   1:rarety:q  Objets          Use/Give        1:10000     1:1500
#
Poke_Ball           1:60:2-10   Balls           Throw           1:800       1:800           Une BALL pouvant capturer un Pokemon sauvage. Utilisable: Spawn.
Graine_Miracle      1:35:1-1    Objets          Give:p:plante   1:3000      1:750           Augmente la puissance des attaques de type PLANTE de 20%. A tenir: Cliquer-Glisser dans Equipe
Charbon             1:35:1-1    Objets          Give:p:feu      1:3000      1:750           Augmente la puissance des attaques de type FEU de 20%. A tenir: Cliquer-Glisser dans Equipe
Rune_Sort           1:40:1-1    Objets          Give:p:spectre  1:3000      1:750           Augmente la puissance des attaques de type SPECTRE de 20%. A tenir: Cliquer-Glisser dans Equipe
Lunettes_Noires     1:35:1-1    Objets          Give:p:dark     1:3000      1:750           Augmente la puissance des attaques de type TENEBRES de 20%. A tenir: Cliquer-Glisser dans Equipe
Cuillere_Tordue     1:35:1-1    Objets          Give:p:psy      1:3000      1:750           Augmente la puissance des attaques de type PSY de 20%. A tenir: Cliquer-Glisser dans Equipe
Aimant              1:35:1-1    Objets          Give:p:acier    1:3000      1:750           Augmente la puissance des attaques de type ELECTRIC de 20%. A tenir: Cliquer-Glisser dans Equipe
Vive_Griffe         1:50:1-1    Objets          Give:special    1:8000      1:2000          Une griffe legere offrant 50% de chance au pokemon qui la tient de frapper en premier A tenir: Cliquer-Glisser dans Equipe
Bandeau_Muscle      1:40:1-1    Objets          Give:special    1:2500      1:1250          Tenu par un pokemon, augmente la puissance de ses attaques de 10%. A tenir: Cliquer-Glisser dans Equipe
Poussiere_Etoile    1:60:1-2    Marchandise     Sell            0           1:15000         Item tres prise. Uniquement revendable au shop. A Vendre: Items.
Poussiere_Bleute    1:60:1-1    Marchandise     Sell            1:10000     1:v:8000-15000  Item dont le prix varie aleatoirement. Investie ton argent intelligement. Revendable au shop. A Vendre: Items.
Poussiere_Jaunete   1:60:1-1    Marchandise     Sell            1:10001     1:v:0-20000     Comme la Poussiere Bleute mais jaune. La variation de prix est encore plus aleatoirement. A Vendre: Items.
# Poussiere_Noire   0:0:0-0     Marchandise     Sell            0           1:50000         tu peux le craft en combinant les Poussiere coute extremment cher a la revente!
Poudre_Verdatre     1:25:1-3    Marchandise     Sell            0           1:1000          Butin super rare !!! Se revend pour 1000 au shop :) A Vendre: Items.
Collier_Agathe      1:70:1-1    Objets          Give:special    1:15000     1:5000          Tant qu'il est tenu par un pokemon, ce dernier voit ses PVmax diminuer de 20% mais il est full HP apres chaque combat.
Casquette_de_Nathan 1:95:1-1    Objets_rares    Give:special    1:100000    0               Equipable uniquement sur Tyranocif. Augmente toutes les stats de Tyranocif de 25%. A tenir: Cliquer-Glisser dans Equipe
Charme_Chroma       1:95:1-1    Objets_rares    Enable          0           0               Une fois utilisee, tous les pokemons deviennent shiny :) Activable: Clic droit.
Caillou             1:80:1-1    Objets          Give:special    0           1:1             Tenu par un pokemon, diminue sa vitesse de 1%. A tenir: Cliquer-Glisser dans Equipe
CD                  1:80:1-1    Objets_rares    Sell            0           1:10            Obtenu pour 100 euros sur Aliexpress : " LE CD LE PLUS RARE DU MONDE ". A Vendre: Items.
Piquants            1:99:1-1    Objets_rares    Sell            0           1:-5000         Tant qu'il est dans le sac, vous perdez 1000 pokedollars par tour. A Vendre: Items.
Rappel              1:35:1-2    Medecine        Use:revive      1:4000      1:1000          Reanime un pokemon K.O. Utilisable: Cliquer-Glisser dans Equipe
